
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      23.93             23.24             24.47        1000
2                      23.92             23.21             24.33        1000
4                      24.46             23.82             24.73        1000
8                      24.52             23.99             24.88        1000
16                     25.37             24.17             26.57        1000
32                     26.60             25.39             27.92        1000
64                     29.04             27.78             30.24        1000
128                    34.67             33.56             35.46        1000
256                    41.95             41.23             43.12        1000
512                    66.24             65.08             67.66        1000
1024                  103.35            101.88            104.90        1000
2048                  169.13            167.25            171.24        1000
4096                  295.21            292.99            296.57        1000
8192                  574.70            571.62            576.87        1000
16384                1188.11           1178.38           1193.84         100
32768                2526.36           2511.23           2536.80         100
65536                5126.44           5107.80           5144.92         100
131072              10316.49          10274.24          10355.42         100
262144              17199.36          17057.66          17311.99         100
524288              34744.38          34429.34          34976.38         100
1048576             70401.23          69794.73          70857.83         100
