
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      40.08
2                      43.41
4                      44.27
8                      60.66
16                     60.83
32                     89.24
64                    150.52
128                   268.02
256                   563.46
512                  1027.02
1024                 2667.08
2048                 4015.09
4096                 6971.15
8192                12163.11
16384               23431.33
32768               46988.87
65536               83426.34
131072             166770.43
262144             331395.37
524288             656645.43
1048576           1405029.77
