
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      53.07             41.83             63.10        1000
2                      64.23             49.79             75.16        1000
4                      54.89             39.11             67.23        1000
8                      55.48             38.13             67.64        1000
16                     71.74             48.61             85.39        1000
32                     96.99             68.12            119.84        1000
64                    163.33            106.81            194.41        1000
128                   256.74            192.97            327.24        1000
256                   574.71            420.84            661.96        1000
512                  1137.35            767.47           1391.85        1000
1024                 2063.44           2057.71           2069.61        1000
2048                 3197.50           3182.86           3209.81        1000
4096                 5748.47           5686.46           5775.95        1000
8192                10546.25          10461.47          10609.98        1000
16384               20523.73          20449.65          20597.64         100
32768               41029.27          40879.38          41116.32         100
65536               81565.03          81299.50          81820.26         100
131072             141453.82         140887.00         141693.55         100
262144             284004.19         282437.79         284646.16         100
524288             569019.25         565834.58         573547.28         100
1048576           1155450.49        1149209.89        1161525.01         100
