
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                      24.16             23.90             24.35        1000
2                      24.98             24.53             25.34        1000
4                      25.61             25.10             25.98        1000
8                      25.64             25.35             25.87        1000
16                     26.41             25.96             26.65        1000
32                     27.39             27.09             27.75        1000
64                     28.71             28.13             29.24        1000
128                    31.79             31.40             32.17        1000
256                    28.49             27.94             29.16        1000
512                    42.50             41.92             42.91        1000
1024                   64.81             64.22             65.35        1000
2048                  109.94            108.75            111.05        1000
4096                  190.90            189.76            192.20        1000
8192                  364.42            362.74            365.77        1000
16384                 731.42            727.88            734.85         100
32768                1608.66           1592.69           1617.30         100
65536                3433.94           3417.78           3451.90         100
131072               6864.86           6814.79           6910.90         100
262144              11886.76          11756.05          11969.93         100
524288              24187.20          23851.35          24434.01         100
1048576             48764.29          48145.12          49222.98         100
