# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       0.18
1                       0.18
2                       0.18
4                       0.18
8                       0.18
16                      0.18
32                      0.18
64                      0.22
128                     0.33
256                     0.35
512                     0.37
1024                    0.46
2048                    0.59
4096                    0.82
8192                    1.18
16384                   1.90
32768                   3.04
65536                   5.08
131072                  8.08
262144                 23.47
524288                 44.68
1048576                86.37
2097152               168.03
4194304               336.33
