# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.78
1                       1.76
2                       1.76
4                       1.76
8                       1.77
16                      1.77
32                      1.94
64                      2.04
128                     2.11
256                     2.81
512                     2.98
1024                    3.17
2048                    3.54
4096                    4.23
8192                    5.33
16384                   7.02
32768                   9.81
65536                  13.05
131072                 20.66
262144                 34.71
524288                 58.18
1048576               102.57
2097152               188.36
4194304               361.64
