# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.78
1                       1.78
2                       1.77
4                       1.78
8                       1.78
16                      1.78
32                      1.93
64                      2.03
128                     2.13
256                     2.87
512                     2.99
1024                    3.18
2048                    3.56
4096                    4.28
8192                    5.34
16384                   7.00
32768                   9.63
65536                  13.16
131072                 20.20
262144                 35.25
524288                 58.29
1048576               101.27
2097152               188.35
4194304               361.51
